1.920,-0.522,0.392,-2.261,-2.523,1.670,-1.262,2.557
1.940,-0.572,0.423,-2.286,-2.479,1.563,-1.240,2.579
1.960,-0.620,0.452,-2.310,-2.443,1.457,-1.222,2.604
1.980,-0.669,0.479,-2.334,-2.404,1.343,-1.202,2.632
2.000,-0.716,0.503,-2.358,-2.362,1.222,-1.181,2.664
2.020,-0.762,0.525,-2.381,-2.317,1.096,-1.158,2.700
2.040,-0.808,0.544,-2.404,-2.269,0.963,-1.134,2.740
2.060,-0.852,0.561,-2.426,-2.218,0.826,-1.109,2.785
2.080,-0.895,0.575,-2.448,-2.164,0.685,-1.082,2.835
2.100,-0.937,0.585,-2.469,-2.108,0.540,-1.054,2.891
2.120,-0.978,0.593,-2.489,-2.049,0.392,-1.024,2.952
2.140,-1.018,0.598,-2.509,-1.987,0.243,-0.994,3.020
2.160,-1.056,0.600,-2.528,-1.923,0.092,-0.961,3.094
2.180,-1.094,0.599,-2.547,-1.856,-0.059,-0.928,-3.110
2.200,-1.129,0.595,-2.565,-1.787,-0.210,-0.894,-3.025
2.220,-1.164,0.587,-2.582,-1.716,-0.360,-0.858,-2.935
2.240,-1.197,0.577,-2.598,-1.643,-0.508,-0.821,-2.842
2.260,-1.228,0.564,-2.614,-1.568,-0.653,-0.784,-2.747
2.280,-1.258,0.548,-2.629,-1.490,-0.795,-0.745,-2.651
2.300,-1.286,0.530,-2.643,-1.411,-0.933,-0.705,-2.557
2.320,-1.313,0.508,-2.656,-1.330,-1.067,-0.665,-2.466
2.340,-1.337,0.484,-2.669,-1.247,-1.195,-0.624,-2.378
2.360,-1.361,0.458,-2.680,-1.163,-1.317,-0.582,-2.294
2.380,-1.382,0.429,-2.691,-1.077,-1.432,-0.539,-2.216
2.400,-1.402,0.399,-2.701,-0.990,-1.540,-0.495,-2.142
2.420,-1.420,0.366,-2.710,-0.902,-1.641,-0.451,-2.073
2.440,-1.436,0.331,-2.718,-0.812,-1.733,-0.406,-2.009
2.460,-1.451,0.295,-2.725,-0.722,-1.816,-0.361,-1.949
2.480,-1.463,0.257,-2.732,-0.630,-1.891,-0.315,-1.893
2.500,-1.474,0.218,-2.737,-0.538,-1.955,-0.269,-1.839
2.520,-1.483,0.178,-2.742,-0.445,-2.010,-0.223,-1.789
2.540,-1.490,0.137,-2.745,-0.352,-2.055,-0.176,-1.740
2.560,-1.495,0.095,-2.748,-0.258,-2.090,-0.129,-1.694
